Date,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
2020-09-30,115.61054229736328,490.42999267578125,3148.72998046875,23.940784454345703,124.08000183105469,261.8999938964844,1465.5999755859375,276.2039794921875,147.8526153564453,95.3848876953125,337.77667236328125,209.78077697753906,541.0601196289062,138.22251892089844,197.02999877929688,429.010009765625,310.6523132324219,199.6691436767578,58.86326599121094,139.40045166015625
2020-10-01,116.58885955810547,499.510009765625,3221.260009765625,23.95072364807129,123.30999755859375,266.6300048828125,1487.9000244140625,276.1144714355469,146.3033905029297,96.07846069335938,342.9706115722656,211.9052276611328,544.419189453125,138.4711456298828,196.94000244140625,448.1600036621094,311.9476623535156,203.0440673828125,58.82368850708008,142.55889892578125
2020-10-02,112.82534790039062,478.989990234375,3125.0,24.060041427612305,122.55000305175781,259.94000244140625,1455.5999755859375,277.7952880859375,145.2308349609375,96.98999786376953,338.4358825683594,205.65159606933594,522.335693359375,137.35731506347656,191.91000366210938,415.0899963378906,310.861572265625,201.15692138671875,58.615901947021484,139.98829650878906
2020-10-05,116.29935455322266,486.4700012207031,3199.199951171875,24.46750259399414,123.37000274658203,264.6499938964844,1482.8299560546875,280.5701599121094,147.20709228515625,99.04000091552734,342.85076904296875,209.83065795898438,545.538818359375,138.6203155517578,196.85000610351562,425.67999267578125,317.00946044921875,203.2337646484375,59.03147506713867,141.2835693359375
2020-10-06,112.9651107788086,478.9800109863281,3099.9599609375,24.219051361083984,120.93000030517578,258.6600036621094,1451.02001953125,274.970703125,145.2506866455078,98.0199966430664,337.0375061035156,205.37232971191406,549.2977294921875,138.83909606933594,191.66000366210938,413.9800109863281,313.3227233886719,200.14842224121094,58.833580017089844,140.11782836914062
2020-10-07,114.88180541992188,493.1499938964844,3195.68994140625,24.72589111328125,122.91000366210938,258.1199951171875,1459.1400146484375,281.2564392089844,146.85951232910156,99.7300033569336,343.5,209.28208923339844,558.39501953125,139.92308044433594,194.61000061035156,425.29998779296875,322.011474609375,202.16539001464844,58.98200225830078,140.3768768310547
2020-10-08,114.77198791503906,490.8399963378906,3190.550048828125,25.083662033081055,123.08999633789062,263.760009765625,1483.4300537109375,282.9770202636719,147.86253356933594,101.77999877929688,345.1499938964844,210.03013610839844,553.386474609375,140.86782836914062,193.05999755859375,425.9200134277344,321.2541809082031,202.67462158203125,59.189998626708984,140.8451690673828
2020-10-09,116.76854705810547,502.1600036621094,3286.64990234375,25.202919006347656,124.9800033569336,264.45001220703125,1510.449951171875,284.3694763183594,149.92819213867188,101.19999694824219,352.3900146484375,215.24647521972656,550.347412109375,142.1308135986328,197.27000427246094,434.0,326.6647033691406,206.32911682128906,59.33000183105469,142.25999450683594
2020-10-12,124.18575286865234,510.8900146484375,3442.929931640625,25.520936965942383,124.97000122070312,275.75,1564.5899658203125,285.3540954589844,150.79217529296875,102.44000244140625,352.0400085449219,220.82186889648438,568.8718872070312,143.69215393066406,201.50999450683594,442.29998779296875,328.7870788574219,206.08946228027344,59.54999923706055,143.72463989257812
2020-10-13,120.89143371582031,514.3099975585938,3443.6298828125,24.795459747314453,128.9600067138672,276.1400146484375,1567.0699462890625,288.7853698730469,147.33619689941406,100.77999877929688,345.8399963378906,222.27806091308594,569.7616577148438,143.4136962890625,207.74000549316406,446.6499938964844,330.2319030761719,204.0126190185547,59.36000061035156,145.69741821289062
